,r_5,r_9,r_12,r_177,r_180,r_181,r_182,r_183,r_184,r_187,r_190,r_194,r_195,r_199,r_241,r_242,label,pred
16156,0,5400,23,130,6565,0,0,0,0,0,31,31,0,0,3.3323E+11,2.56264E+11,0,0
15569,0,5400,15,109,6574,0,0,0,0,0,30,30,0,0,3.47815E+11,1.59523E+11,0,0
17741,0,5401,13,113,6559,0,0,0,0,0,30,30,0,0,3.7037E+11,1.91808E+11,0,0
19776,0,5402,28,120,6574,0,0,0,0,0,28,28,0,0,1.73257E+11,77151968493,0,0
24031,0,5402,20,186,6506,0,0,0,0,0,39,39,0,0,6.70415E+11,3.85652E+11,0,0
19592,0,5406,34,12,6525,0,0,0,0,0,31,31,0,0,26121190615,7427027198,0,0
64869,0,5410,15,45,6569,0,0,0,0,0,31,31,0,0,1.64958E+11,1.11436E+11,0,0
15797,0,5414,23,5,6552,0,0,0,0,0,28,28,0,0,4354562744,5070072940,0,0
47940,0,5416,17,50,6440,0,0,0,0,0,29,29,0,0,1.83017E+11,1.14275E+11,0,0
32107,0,5419,41,7,6528,0,0,0,0,0,29,29,0,0,13822347368,10163952560,0,0
35925,0,5420,23,66,6556,0,0,0,0,0,29,29,0,0,1.15838E+11,47333374665,0,0
47100,0,5420,14,47,6590,0,0,0,0,0,33,33,0,0,1.70816E+11,1.1268E+11,0,0
12214,0,5421,22,49,6521,0,0,0,0,0,28,28,0,0,1.03394E+11,51709121283,0,0
21949,0,5425,23,144,6543,0,0,0,0,0,33,33,0,0,3.44187E+11,2.47944E+11,0,0
17742,0,5425,13,115,6559,0,0,0,0,0,30,30,0,0,3.73316E+11,1.93443E+11,0,0
3545,0,5426,25,14,6542,0,0,0,0,0,27,27,0,0,28218902786,7310780560,0,0
37618,0,5426,17,81,6583,0,0,0,0,0,27,27,0,0,1.31324E+11,1.25797E+11,0,0
11089,0,5427,24,135,6567,0,0,0,0,0,31,31,0,0,3.47612E+11,2.56451E+11,0,0
28059,0,5427,13,110,6497,0,0,0,0,0,31,31,0,0,3.51909E+11,1.8206E+11,0,0
19593,0,5430,34,12,6525,0,0,0,0,0,31,31,0,0,26126308639,7427027206,0,0
64870,0,5434,15,45,6569,0,0,0,0,0,31,31,0,0,1.65871E+11,1.12028E+11,0,0
31739,0,5435,16,8,6514,0,0,0,0,0,32,32,0,0,25373843488,4554763036,0,0
38753,0,5438,15,76,6527,0,0,0,0,0,30,30,0,0,2.05626E+11,1.8855E+11,0,0
36959,0,5439,33,6,6503,0,0,0,0,0,27,27,0,0,2988773489,2566506257,0,0
2094,0,5443,3,25,6557,0,0,0,0,0,30,30,0,0,69582998246,1099671600,0,0
42623,0,5444,22,61,6535,0,0,0,0,0,28,28,0,0,1.24664E+11,81539598180,0,0
4975,0,5444,23,48,6523,0,0,0,0,0,29,29,0,0,1.27587E+11,47855313484,0,0
12758,0,5445,22,84,6561,0,0,0,0,0,29,29,0,0,1.56287E+11,45424849701,0,0
43180,0,5447,23,133,6595,0,0,0,0,0,30,30,0,0,4.62452E+11,2.88757E+11,0,0
6201,0,5448,19,8,6561,0,0,0,0,0,32,32,0,0,26655336728,5118922616,0,0
30093,0,5448,19,8,6553,0,0,0,0,0,31,31,0,0,25736405506,6127426930,0,0
60265,0,5450,27,119,6485,0,0,0,0,0,31,31,0,0,1.86503E+11,93134492378,0,0
63367,0,5451,16,112,6504,0,0,0,0,0,29,29,0,0,3.64804E+11,1.98515E+11,0,0
23046,0,5452,27,134,6491,0,0,0,0,0,29,29,0,0,2.06502E+11,52411618638,0,0
32325,0,5452,25,14,6550,0,0,0,0,0,27,27,0,0,26942587783,7180407474,0,0
31740,0,5459,16,8,6514,0,0,0,0,0,32,32,0,0,25373843488,4554763036,0,0
38754,0,5462,15,77,6527,0,0,0,0,0,30,30,0,0,2.08043E+11,1.90005E+11,0,0
7651,0,5464,22,10,6510,0,0,0,0,0,31,31,0,0,29692331184,8156347597,0,0
3199,0,5466,7,290,6511,0,0,0,0,0,29,29,0,0,4.00525E+11,31691306658,0,0
33644,0,5467,4,13,6559,0,0,0,0,0,34,34,0,0,18594185940,3108531782,0,0
2095,0,5467,3,25,6557,0,0,0,0,0,30,30,0,0,69583003934,1099671600,0,0
43710,0,5468,23,46,6547,0,0,0,0,0,29,29,0,0,1.29259E+11,41690757927,0,0
4348,0,5471,12,68,6580,0,0,0,0,0,32,32,0,0,1.93238E+11,1.59647E+11,0,0
20640,0,5473,13,104,6509,0,0,0,0,0,29,29,0,0,3.32542E+11,1.7221E+11,0,0
21951,0,5473,23,148,6543,0,0,0,0,0,33,33,0,0,3.48799E+11,2.51599E+11,0,0
24034,0,5474,20,188,6506,0,0,0,0,0,39,39,0,0,6.74681E+11,3.89633E+11,0,0
11091,0,5475,24,137,6567,0,0,0,0,0,31,31,0,0,3.51448E+11,2.59575E+11,0,0
32326,0,5476,25,14,6550,0,0,0,0,0,27,27,0,0,27076785412,7210446083,0,0
26696,0,5481,31,43,6540,0,0,0,0,0,27,27,0,0,1.1241E+11,64413621853,0,0
31741,0,5483,16,8,6514,0,0,0,0,0,32,32,0,0,25373843488,4554763036,0,0
22451,0,5484,15,37,6557,0,0,0,0,0,28,28,0,0,1.3497E+11,99011500030,0,0
59297,0,5485,15,50,6523,0,0,0,0,0,30,30,0,0,1.83635E+11,1.12049E+11,0,0
15800,0,5486,23,5,6552,0,0,0,0,0,27,27,0,0,4354704920,5070072940,0,0
47943,0,5488,17,51,6440,0,0,0,0,0,29,29,0,0,1.86115E+11,1.16345E+11,0,0
47103,0,5492,14,48,6590,0,0,0,0,0,34,34,0,0,1.73795E+11,1.14699E+11,0,0
22353,0,5492,25,34,6548,0,0,0,0,0,27,27,0,0,99862709759,37706915260,0,0
20181,0,5493,22,68,6565,0,0,0,0,0,27,27,0,0,1.71297E+11,42823879320,0,0
4349,0,5495,12,69,6580,0,0,0,0,0,32,32,0,0,1.95653E+11,1.60705E+11,0,0
30095,0,5496,19,8,6553,0,0,0,0,0,30,30,0,0,25736405506,6127426930,0,0
34970,0,5497,35,6,6520,0,0,0,0,0,26,26,0,0,3073921952,2565690835,0,0
6885,0,5497,13,118,6499,0,0,0,0,0,33,33,0,0,3.85774E+11,1.93112E+11,0,0
17745,0,5497,13,117,6559,0,0,0,0,0,30,30,0,0,3.80429E+11,1.97387E+11,0,0
37621,0,5498,17,82,6583,0,0,0,0,0,27,27,0,0,1.33356E+11,1.29884E+11,0,0
3548,0,5498,25,15,6542,0,0,0,0,0,27,27,0,0,28679294625,7390265459,0,0
4214,0,5498,23,148,6421,0,0,0,0,0,32,32,0,0,3.65575E+11,2.66663E+11,0,0
63369,0,5499,16,114,6504,0,0,0,0,0,28,28,0,0,3.69335E+11,2.01064E+11,0,0
40190,0,5507,16,36,6491,0,0,0,0,0,31,31,0,0,1.29286E+11,97240310709,0,0
22452,0,5508,15,38,6557,0,0,0,0,0,28,28,0,0,1.35816E+11,99759424348,0,0
15801,0,5510,23,5,6552,0,0,0,0,0,27,27,0,0,4354752624,5070072940,0,0
36962,0,5511,33,6,6503,0,0,0,0,0,28,28,0,0,3008317593,2624198910,0,0
6064,0,5514,22,81,6562,0,0,0,0,0,27,27,0,0,2.20307E+11,52428372668,0,0
20182,0,5517,22,68,6565,0,0,0,0,0,27,27,0,0,1.71874E+11,42950880255,0,0
16161,0,5520,23,137,6565,0,0,0,0,0,30,30,0,0,3.4246E+11,2.63761E+11,0,0
15574,0,5520,15,114,6574,0,0,0,0,0,29,29,0,0,3.61835E+11,1.66062E+11,0,0
33898,0,5520,18,8,6547,0,0,0,0,0,31,31,0,0,28546219640,7036780754,0,0
4215,0,5522,23,150,6421,0,0,0,0,0,31,31,0,0,3.67676E+11,2.68276E+11,0,0
9240,0,5530,16,40,6539,0,0,0,0,0,31,31,0,0,1.45092E+11,1.05668E+11,0,0
31743,0,5531,16,8,6514,0,0,0,0,0,33,33,0,0,25373843488,4554763036,0,0
29202,0,5538,24,7,6588,0,0,0,0,0,30,30,0,0,28147964074,4430894857,0,0
33647,0,5539,4,13,6559,0,0,0,0,0,36,36,0,0,18753719076,3108983558,0,0
42627,0,5540,22,63,6535,0,0,0,0,0,29,29,0,0,1.27274E+11,82292481141,0,0
29595,0,5540,23,50,6536,0,0,0,0,0,29,29,0,0,1.20901E+11,43767796728,0,0
12762,0,5541,22,86,6561,0,0,0,0,0,29,29,0,0,1.58792E+11,46029874554,0,0
20643,0,5545,13,107,6509,0,0,0,0,0,28,28,0,0,3.40644E+11,1.76404E+11,0,0
11094,0,5547,24,141,6567,0,0,0,0,0,31,31,0,0,3.56253E+11,2.63452E+11,0,0
63371,0,5547,16,116,6504,0,0,0,0,0,28,28,0,0,3.74087E+11,2.03815E+11,0,0
14194,0,5549,28,2,6500,0,0,0,0,0,30,30,0,0,7691674439,1.4358E+11,0,0
19598,0,5550,34,12,6525,0,0,0,0,0,32,32,0,0,26152859407,7427532206,0,0
32329,0,5552,25,14,6550,0,0,0,0,0,27,27,0,0,27505562895,7314460181,0,0
15938,0,5552,20,39,6537,0,0,0,0,0,28,28,0,0,1.43483E+11,1.05504E+11,0,0
46935,0,5554,15,57,6491,0,0,0,0,0,30,30,0,0,2.09247E+11,1.17227E+11,0,0
64697,0,5554,15,43,6522,0,0,0,0,0,31,31,0,0,1.5086E+11,1.05808E+11,0,0
9241,0,5554,16,41,6539,0,0,0,0,0,31,31,0,0,1.46233E+11,1.06584E+11,0,0
21382,0,5558,15,80,6528,0,0,0,0,0,31,31,0,0,2.17542E+11,1.87813E+11,0,0
38758,0,5558,15,79,6527,0,0,0,0,0,30,30,0,0,2.1333E+11,1.94208E+11,0,0
36964,0,5559,33,6,6503,0,0,0,0,0,27,27,0,0,3018265242,2643427509,0,0
33648,0,5562,4,13,6559,0,0,0,0,0,34,34,0,0,18790674760,3109457922,0,0
32113,0,5563,41,8,6528,0,0,0,0,0,28,28,0,0,14082803712,10164096832,0,0
29596,0,5564,23,50,6536,0,0,0,0,0,29,29,0,0,1.21493E+11,43873564324,0,0
43714,0,5564,23,47,6547,0,0,0,0,0,29,29,0,0,1.3179E+11,42170298922,0,0
42628,0,5564,22,63,6535,0,0,0,0,0,28,28,0,0,1.27958E+11,82420221806,0,0
16163,0,5568,23,139,6565,0,0,0,0,0,31,31,0,0,3.45565E+11,2.66497E+11,0,0
42215,0,5568,36,6,6543,0,0,0,0,0,26,26,0,0,3087909256,2946482470,0,0
20644,0,5569,13,108,6509,0,0,0,0,0,28,28,0,0,3.43222E+11,1.77706E+11,0,0
11095,0,5571,24,142,6567,0,0,0,0,0,31,31,0,0,3.57746E+11,2.64591E+11,0,0
63372,0,5571,16,117,6504,0,0,0,0,0,28,28,0,0,3.76109E+11,2.05018E+11,0,0
23051,0,5572,27,136,6491,0,0,0,0,0,29,29,0,0,2.09482E+11,53243047472,0,0
14195,0,5573,28,2,6500,0,0,0,0,0,30,30,0,0,7691674439,1.4358E+11,0,0
3551,0,5574,25,15,6542,0,0,0,0,0,27,27,0,0,29211432346,7483752053,0,0
37116,0,5576,20,40,6543,0,0,0,0,0,28,28,0,0,1.39669E+11,1.02957E+11,0,0
46936,0,5578,15,57,6491,0,0,0,0,0,30,30,0,0,2.10828E+11,1.18188E+11,0,0
37689,0,5579,46,6,6544,0,0,0,0,0,27,27,0,0,3465153240,3676674520,0,0
59301,0,5581,15,51,6523,0,0,0,0,0,29,29,0,0,1.86768E+11,1.14294E+11,0,0
3204,0,5586,7,296,6511,0,0,0,0,0,29,29,0,0,4.09266E+11,32163480122,0,0
2100,0,5587,3,25,6557,0,0,0,0,0,30,30,0,0,69583003934,1099671600,0,0
47107,0,5588,14,49,6590,0,0,0,0,0,33,33,0,0,1.77954E+11,1.17723E+11,0,0
43715,0,5588,23,47,6547,0,0,0,0,0,29,29,0,0,1.32514E+11,42363372855,0,0
35932,0,5588,23,69,6556,0,0,0,0,0,29,29,0,0,1.20864E+11,48635192772,0,0
12221,0,5589,22,52,6521,0,0,0,0,0,28,28,0,0,1.07289E+11,53060989244,0,0
25421,0,5590,18,75,6573,0,0,0,0,0,28,28,0,0,2.71154E+11,1.40912E+11,0,0
6207,0,5592,19,8,6561,0,0,0,0,0,31,31,0,0,26655336728,5118922616,0,0
16164,0,5592,23,140,6565,0,0,0,0,0,31,31,0,0,3.47214E+11,2.68039E+11,0,0
35350,0,5592,25,145,6584,0,0,0,0,0,33,33,0,0,3.53122E+11,2.51698E+11,0,0
15577,0,5592,15,117,6574,0,0,0,0,0,29,29,0,0,3.68756E+11,1.69331E+11,0,0
21956,0,5593,23,155,6543,0,0,0,0,0,33,33,0,0,3.58868E+11,2.59226E+11,0,0
24039,0,5594,20,190,6506,0,0,0,0,0,39,39,0,0,6.8145E+11,3.95931E+11,0,0
37625,0,5594,17,84,6583,0,0,0,0,0,27,27,0,0,1.37374E+11,1.33298E+11,0,0
11096,0,5595,24,143,6567,0,0,0,0,0,31,31,0,0,3.59434E+11,2.65919E+11,0,0
23052,0,5596,27,137,6491,0,0,0,0,0,29,29,0,0,2.1018E+11,53475242210,0,0
3552,0,5598,25,15,6542,0,0,0,0,0,27,27,0,0,29375310404,7512344012,0,0
15940,0,5600,20,40,6537,0,0,0,0,0,28,28,0,0,1.4508E+11,1.06895E+11,0,0
37690,0,5603,46,6,6544,0,0,0,0,0,28,28,0,0,3471011211,3692486997,0,0
40194,0,5603,16,37,6491,0,0,0,0,0,32,32,0,0,1.32414E+11,99901521621,0,0
47948,0,5608,17,53,6440,0,0,0,0,0,29,29,0,0,1.91865E+11,1.20221E+11,0,0
32115,0,5611,41,8,6528,0,0,0,0,0,28,28,0,0,14212692128,10164196248,0,0
22358,0,5612,25,35,6548,0,0,0,0,0,28,28,0,0,1.03034E+11,38336108035,0,0
6208,0,5616,19,8,6561,0,0,0,0,0,31,31,0,0,26655336728,5118922616,0,0
16165,0,5616,23,142,6565,0,0,0,0,0,31,31,0,0,3.48868E+11,2.69623E+11,0,0
21957,0,5617,23,157,6543,0,0,0,0,0,33,33,0,0,3.60987E+11,2.61009E+11,0,0
31747,0,5627,16,8,6514,0,0,0,0,0,32,32,0,0,25373843488,4554763036,0,0
54271,0,5630,32,180,6553,0,0,0,0,0,30,30,0,0,3.90259E+11,62713832520,0,0
6069,0,5634,22,85,6562,0,0,0,0,0,27,27,0,0,2.28443E+11,53228386982,0,0
3206,0,5634,7,299,6511,0,0,0,0,0,29,29,0,0,4.12884E+11,32321308258,0,0
13278,0,5634,24,6,6530,0,0,0,0,0,30,30,0,0,25656241736,5494786465,0,0
32116,0,5635,41,8,6528,0,0,0,0,0,29,29,0,0,14245830240,10164228320,0,0
12766,0,5637,22,88,6561,0,0,0,0,0,29,29,0,0,1.61647E+11,46632708163,0,0
20187,0,5637,22,70,6565,0,0,0,0,0,27,27,0,0,1.74874E+11,43803760669,0,0
25423,0,5638,18,75,6573,0,0,0,0,0,28,28,0,0,2.72975E+11,1.42238E+11,0,0
43188,0,5639,23,137,6595,0,0,0,0,0,30,30,0,0,4.71643E+11,2.99104E+11,0,0
4355,0,5639,12,74,6580,0,0,0,0,0,32,32,0,0,2.1017E+11,1.67615E+11,0,0
28836,0,5640,23,157,6606,0,0,0,0,0,30,30,0,0,4.08344E+11,2.6748E+11,0,0
30101,0,5640,19,8,6553,0,0,0,0,0,30,30,0,0,25736405506,6127426930,0,0
6209,0,5640,19,8,6561,0,0,0,0,0,31,31,0,0,26655336728,5118922616,0,0
35352,0,5640,25,148,6584,0,0,0,0,0,33,33,0,0,3.57504E+11,2.54774E+11,0,0
34976,0,5641,35,6,6520,0,0,0,0,0,26,26,0,0,3110258288,2643961437,0,0
60273,0,5642,27,122,6485,0,0,0,0,0,31,31,0,0,1.90492E+11,95153156224,0,0
36213,0,5642,28,44,6524,0,0,0,0,0,31,31,0,0,1.57544E+11,1.20292E+11,0,0
63375,0,5643,16,119,6504,0,0,0,0,0,28,28,0,0,3.821E+11,2.08671E+11,0,0
46939,0,5650,15,58,6491,0,0,0,0,0,30,30,0,0,2.15096E+11,1.2089E+11,0,0
15807,0,5654,23,5,6552,0,0,0,0,0,28,28,0,0,4355037576,5070072940,0,0
36968,0,5655,33,6,6503,0,0,0,0,0,27,27,0,0,3043899671,2703590491,0,0
47950,0,5656,17,53,6440,0,0,0,0,0,29,29,0,0,1.94069E+11,1.21757E+11,0,0
32117,0,5659,41,8,6528,0,0,0,0,0,29,29,0,0,14317227664,10164273808,0,0
2103,0,5659,3,25,6557,0,0,0,0,0,29,29,0,0,69583003934,1099671600,0,0
22360,0,5660,25,36,6548,0,0,0,0,0,28,28,0,0,1.04518E+11,38644207739,0,0
29600,0,5660,23,51,6536,0,0,0,0,0,29,29,0,0,1.2416E+11,44617291494,0,0
35935,0,5660,23,71,6556,0,0,0,0,0,28,28,0,0,1.23219E+11,49107679553,0,0
20188,0,5661,22,70,6565,0,0,0,0,0,28,28,0,0,1.75605E+11,44049855504,0,0
12767,0,5661,22,89,6561,0,0,0,0,0,29,29,0,0,1.62522E+11,46860581951,0,0
33904,0,5664,18,8,6547,0,0,0,0,0,32,32,0,0,28546219640,7036780754,0,0
14199,0,5669,28,2,6500,0,0,0,0,0,31,31,0,0,7691678254,1.4733E+11,0,0
3555,0,5670,25,15,6542,0,0,0,0,0,27,27,0,0,29828673638,7598331623,0,0
16587,0,5670,25,14,6574,0,0,0,0,0,27,27,0,0,28405679965,7771655386,0,0
9246,0,5674,16,42,6539,0,0,0,0,0,30,30,0,0,1.5105E+11,1.11841E+11,0,0
64702,0,5674,15,44,6522,0,0,0,0,0,31,31,0,0,1.55123E+11,1.09777E+11,0,0
22459,0,5676,15,39,6557,0,0,0,0,0,28,28,0,0,1.41458E+11,1.05134E+11,0,0
22361,0,5684,25,36,6548,0,0,0,0,0,28,28,0,0,1.05366E+11,38853395902,0,0
12225,0,5685,22,53,6521,0,0,0,0,0,28,28,0,0,1.09792E+11,53794417576,0,0
28838,0,5688,23,160,6606,0,0,0,0,0,30,30,0,0,4.12635E+11,2.70767E+11,0,0
37629,0,5690,17,85,6583,0,0,0,0,0,27,27,0,0,1.38029E+11,1.37018E+11,0,0
63377,0,5691,16,120,6504,0,0,0,0,0,28,28,0,0,3.86316E+11,2.11396E+11,0,0
64703,0,5698,15,44,6522,0,0,0,0,0,31,31,0,0,1.5599E+11,1.10661E+11,0,0
46941,0,5698,15,59,6491,0,0,0,0,0,30,30,0,0,2.18294E+11,1.22701E+11,0,0
9247,0,5698,16,42,6539,0,0,0,0,0,31,31,0,0,1.51974E+11,1.12731E+11,0,0
15809,0,5702,23,5,6552,0,0,0,0,0,28,28,0,0,4355133936,5070072940,0,0
42634,0,5708,22,66,6535,0,0,0,0,0,28,28,0,0,1.3273E+11,83648508991,0,0
47112,0,5708,14,51,6590,0,0,0,0,0,34,34,0,0,1.83346E+11,1.21663E+11,0,0
12226,0,5709,22,54,6521,0,0,0,0,0,28,28,0,0,1.10478E+11,53994738174,0,0
4358,0,5711,12,76,6580,0,0,0,0,0,32,32,0,0,2.13949E+11,1.70656E+11,0,0
28839,0,5712,23,162,6606,0,0,0,0,0,30,30,0,0,4.14435E+11,2.7206E+11,0,0
36216,0,5714,28,45,6524,0,0,0,0,0,31,31,0,0,1.60306E+11,1.22581E+11,0,0
24044,0,5714,20,193,6506,0,0,0,0,0,40,40,0,0,6.87976E+11,4.01816E+11,0,0
37122,0,5720,20,41,6543,0,0,0,0,0,29,29,0,0,1.45189E+11,1.07777E+11,0,0
64704,0,5722,15,44,6522,0,0,0,0,0,31,31,0,0,1.57008E+11,1.11646E+11,0,0
31751,0,5723,16,8,6514,0,0,0,0,0,33,33,0,0,25373843488,4554763036,0,0
21389,0,5726,15,86,6528,0,0,0,0,0,31,31,0,0,2.29146E+11,2.00892E+11,0,0
3210,0,5730,7,304,6511,0,0,0,0,0,28,28,0,0,4.19884E+11,32708295018,0,0
35938,0,5732,23,74,6556,0,0,0,0,0,28,28,0,0,1.29085E+11,49719782379,0,0
42635,0,5732,22,66,6535,0,0,0,0,0,28,28,0,0,1.33667E+11,83926352315,0,0
20191,0,5733,22,72,6565,0,0,0,0,0,28,28,0,0,1.78078E+11,44737002115,0,0
25427,0,5734,18,77,6573,0,0,0,0,0,28,28,0,0,2.78496E+11,1.4618E+11,0,0
35356,0,5736,25,154,6584,0,0,0,0,0,33,33,0,0,3.65904E+11,2.60529E+11,0,0
16170,0,5736,23,147,6565,0,0,0,0,0,31,31,0,0,3.5667E+11,2.76313E+11,0,0
36217,0,5738,28,45,6524,0,0,0,0,0,31,31,0,0,1.61134E+11,1.23278E+11,0,0
31752,0,5747,16,8,6514,0,0,0,0,0,32,32,0,0,25373843488,4554763036,0,0
40200,0,5747,16,38,6491,0,0,0,0,0,32,32,0,0,1.37086E+11,1.04374E+11,0,0
13283,0,5754,24,6,6530,0,0,0,0,0,30,30,0,0,25656241736,5494786465,0,0
43722,0,5756,23,49,6547,0,0,0,0,0,29,29,0,0,1.37876E+11,43885159418,0,0
12228,0,5757,22,54,6521,0,0,0,0,0,28,28,0,0,1.11864E+11,54592958846,0,0
15584,0,5760,15,124,6574,0,0,0,0,0,30,30,0,0,3.87486E+11,1.78176E+11,0,0
16171,0,5760,23,148,6565,0,0,0,0,0,31,31,0,0,3.58207E+11,2.77642E+11,0,0
35357,0,5760,25,156,6584,0,0,0,0,0,34,34,0,0,3.68089E+11,2.61952E+11,0,0
17756,0,5761,13,127,6559,0,0,0,0,0,29,29,0,0,4.04649E+11,2.11169E+11,0,0
60278,0,5762,27,124,6485,0,0,0,0,0,30,30,0,0,1.9321E+11,96331982561,0,0
28073,0,5763,13,123,6497,0,0,0,0,0,30,30,0,0,3.83511E+11,2.00101E+11,0,0
23059,0,5764,27,140,6491,0,0,0,0,0,29,29,0,0,2.14492E+11,55142520182,0,0
37124,0,5768,20,42,6543,0,0,0,0,0,28,28,0,0,1.46964E+11,1.09276E+11,0,0
26708,0,5769,31,48,6540,0,0,0,0,0,27,27,0,0,1.20633E+11,67065260842,0,0
9250,0,5770,16,43,6539,0,0,0,0,0,31,31,0,0,1.55666E+11,1.15753E+11,0,0
64706,0,5770,15,45,6522,0,0,0,0,0,31,31,0,0,1.58579E+11,1.13462E+11,0,0
37697,0,5771,46,6,6544,0,0,0,0,0,27,27,0,0,3525445066,3876123384,0,0
15812,0,5774,23,5,6552,0,0,0,0,0,28,28,0,0,4355273016,5070072940,0,0
25429,0,5782,18,77,6573,0,0,0,0,0,28,28,0,0,2.80298E+11,1.47364E+11,0,0
43194,0,5783,23,139,6595,0,0,0,0,0,30,30,0,0,4.7824E+11,3.06797E+11,0,0
20653,0,5785,13,117,6509,0,0,0,0,0,29,29,0,0,3.67064E+11,1.89617E+11,0,0
34982,0,5785,35,7,6520,0,0,0,0,0,26,26,0,0,3150821905,2749426284,0,0
21964,0,5785,23,168,6543,0,0,0,0,0,33,33,0,0,3.75858E+11,2.72637E+11,0,0
24047,0,5786,20,194,6506,0,0,0,0,0,40,40,0,0,6.91704E+11,4.0534E+11,0,0
36219,0,5786,28,45,6524,0,0,0,0,0,31,31,0,0,1.62782E+11,1.2471E+11,0,0
14204,0,5789,28,2,6500,0,0,0,0,0,30,30,0,0,7691678254,1.4733E+11,0,0
3560,0,5790,25,16,6542,0,0,0,0,0,27,27,0,0,30547070190,7761379377,0,0
27572,0,5790,34,11,6487,0,0,0,0,0,32,32,0,0,26612540130,4653491008,0,0
26709,0,5793,31,48,6540,0,0,0,0,0,27,27,0,0,1.21326E+11,67416156938,0,0
31754,0,5795,16,8,6514,0,0,0,0,0,31,31,0,0,25373843488,4554763036,0,0
22464,0,5796,15,40,6557,0,0,0,0,0,28,28,0,0,1.45398E+11,1.08745E+11,0,0
54278,0,5798,32,190,6553,0,0,0,0,0,29,29,0,0,4.17363E+11,65536040674,0,0
4990,0,5804,23,53,6523,0,0,0,0,0,28,28,0,0,1.38187E+11,51421883276,0,0
47116,0,5804,14,52,6590,0,0,0,0,0,33,33,0,0,1.89288E+11,1.25649E+11,0,0
12230,0,5805,22,55,6521,0,0,0,0,0,28,28,0,0,1.13081E+11,55265896115,0,0
42225,0,5808,36,6,6543,0,0,0,0,0,26,26,0,0,3178758389,3184317706,0,0
16173,0,5808,23,151,6565,0,0,0,0,0,31,31,0,0,3.61874E+11,2.80583E+11,0,0
30108,0,5808,19,8,6553,0,0,0,0,0,31,31,0,0,25736405506,6127426930,0,0
6216,0,5808,19,8,6561,0,0,0,0,0,31,31,0,0,26655336728,5118922616,0,0
37634,0,5810,17,86,6583,0,0,0,0,0,27,27,0,0,1.39586E+11,1.39918E+11,0,0
23061,0,5812,27,141,6491,0,0,0,0,0,30,30,0,0,2.15556E+11,55637343293,0,0
19609,0,5814,34,12,6525,0,0,0,0,0,31,31,0,0,26209250175,7427984470,0,0
7666,0,5824,22,10,6510,0,0,0,0,0,30,30,0,0,29692331184,8156347597,0,0
33659,0,5825,4,14,6559,0,0,0,0,0,36,36,0,0,20044772644,3120911198,0,0
13286,0,5826,24,6,6530,0,0,0,0,0,30,30,0,0,25656241736,5494786465,0,0
2110,0,5827,3,26,6557,0,0,0,0,0,29,29,0,0,69583003998,1099671624,0,0
47117,0,5828,14,53,6590,0,0,0,0,0,33,33,0,0,1.90695E+11,1.26628E+11,0,0
43725,0,5828,23,50,6547,0,0,0,0,0,29,29,0,0,1.39961E+11,44850837886,0,0
17759,0,5833,13,130,6559,0,0,0,0,0,29,29,0,0,4.11986E+11,2.15028E+11,0,0
24049,0,5834,20,195,6506,0,0,0,0,0,41,41,0,0,6.93858E+11,4.07629E+11,0,0
60281,0,5834,27,125,6485,0,0,0,0,0,31,31,0,0,1.94724E+11,97203104434,0,0
19610,0,5838,34,13,6525,0,0,0,0,0,31,31,0,0,26214275855,7427984598,0,0
15950,0,5840,20,42,6537,0,0,0,0,0,27,27,0,0,1.53628E+11,1.14078E+11,0,0
10561,0,5841,17,17,6561,0,0,0,0,0,32,32,0,0,37380684458,5410600353,0,0
26711,0,5841,31,49,6540,0,0,0,0,0,28,28,0,0,1.22725E+11,68124202465,0,0
64709,0,5842,15,46,6522,0,0,0,0,0,30,30,0,0,1.61481E+11,1.16323E+11,0,0
15815,0,5846,23,5,6552,0,0,0,0,0,28,28,0,0,4355414656,5070072940,0,0
21394,0,5846,15,88,6528,0,0,0,0,0,31,31,0,0,2.3468E+11,2.09716E+11,0,0
36976,0,5847,33,6,6503,0,0,0,0,0,27,27,0,0,3114973921,2837588801,0,0
13287,0,5850,24,6,6530,0,0,0,0,0,30,30,0,0,25656241736,5494786465,0,0
43726,0,5852,23,51,6547,0,0,0,0,0,28,28,0,0,1.40717E+11,45177257725,0,0
47118,0,5852,14,53,6590,0,0,0,0,0,32,32,0,0,1.91989E+11,1.27529E+11,0,0
33912,0,5856,18,8,6547,0,0,0,0,0,32,32,0,0,28546219640,7036780754,0,0
15588,0,5856,15,128,6574,0,0,0,0,0,29,29,0,0,3.98032E+11,1.82937E+11,0,0
6900,0,5857,13,132,6499,0,0,0,0,0,31,31,0,0,4.19931E+11,2.11963E+11,0,0
37636,0,5858,17,86,6583,0,0,0,0,0,26,26,0,0,1.40055E+11,1.41741E+11,0,0
3563,0,5862,25,16,6542,0,0,0,0,0,27,27,0,0,30964840246,7831484413,0,0
26712,0,5865,31,50,6540,0,0,0,0,0,28,28,0,0,1.23484E+11,68462005859,0,0
64710,0,5866,15,46,6522,0,0,0,0,0,30,30,0,0,1.62499E+11,1.17283E+11,0,0
22467,0,5868,15,41,6557,0,0,0,0,0,27,27,0,0,1.47747E+11,1.10823E+11,0,0
59313,0,5869,15,54,6523,0,0,0,0,0,28,28,0,0,1.97345E+11,1.22122E+11,0,0
